postal_code;locality_name;state_name;lat;lon
A4405;BALLENAL;Salta;"Argentina";-25.0833;-65.4042
A4405;LAS ROSAS;Salta;"Argentina";-25.0833;-65.4042
A4405;EL TIMBO;Salta;"Argentina";-25.0833;-65.4042
A4407;POTRERO DE LINARES;Salta;"Argentina";-24.875;-65.5917
A4407;POTRERO DE URIBURU;Salta;"Argentina";-24.875;-65.5917
A4407;EL TUNAL (CAMPO QUIJANO, DPTO. ROSARIO DE LERMA);Salta;"Argentina";-24.875;-65.5917
A4407;VIRREY TOLEDO (APEADERO FCGB);Salta;"Argentina";-24.875;-65.5917
A4407;KILOMETRO 1172;Salta;"Argentina";-24.875;-65.5917
A4407;LAS ARCAS;Salta;"Argentina";-24.875;-65.5917
A4407;CAMPO QUIJANO;Salta;"Argentina";-24.9167;-65.65
A4407;SILLETA;Salta;"Argentina";-24.8667;-65.5833
A4407;LA SILLETA;Salta;"Argentina";-24.8667;-65.5833
A4407;EL ENCON;Salta;"Argentina";-24.85;-65.55
A4409;CHORRILLOS;Salta;"Argentina";-24.75;-65.75
A4409;LAS CAPILLAS;Salta;"Argentina";-24.6167;-66.0333
A4409;VILLA SOLA;Salta;"Argentina";-24.5485;-65.8803
A4409;INGENIERO MAURY;Salta;"Argentina";-24.6667;-65.75
A4409;EL ALISAL;Salta;"Argentina";-24.85;-65.6833
A4409;SANTA ROSA DE TASTIL;Salta;"Argentina";-24.4333;-65.95
A4409;LAS CEBADAS;Salta;"Argentina";-24.5667;-65.8333
A4409;LAS CUEVAS;Salta;"Argentina";-24.3333;-66.05
A4409;PUERTA TASTIL;Salta;"Argentina";-24.5;-65.8667
A4409;GOBERNADOR MANUEL SOLA;Salta;"Argentina";-24.5667;-65.8333
A4409;PUERTA DE TASTIL;Salta;"Argentina";-24.5;-65.8667
A4409;CACHIÑAL;Salta;"Argentina";-24.25;-66.0667
A4409;DIEGO DE ALMAGRO;Salta;"Argentina";-24.5485;-65.8803
A4409;CERRO BAYO;Salta;"Argentina";-24.5485;-65.8803
A4409;ENCRUCIJADA DE TASTIL;Salta;"Argentina";-24.5485;-65.8803
A4409;EL ALFREDITO;Salta;"Argentina";-24.5485;-65.8803
A4409;EL GOLGOTA;Salta;"Argentina";-24.5485;-65.8803
A4409;MINA CAROLINA;Salta;"Argentina";-24.5485;-65.8803
A4409;QUEBRADA MUÑANO;Salta;"Argentina";-24.5485;-65.8803
A4409;TACUARA (APEADERO FCGB);Salta;"Argentina";-24.5485;-65.8803
A4409;LAS ZORRAS DE SAN BERNARDO;Salta;"Argentina";-24.5485;-65.8803
A4409;MESETA (APEADERO FCGB);Salta;"Argentina";-24.5485;-65.8803
A4409;ENCRUCIJADA;Salta;"Argentina";-24.5485;-65.8803
A4409;INCAHUASI (APEADERO FCGB);Salta;"Argentina";-24.5485;-65.8803
A4409;HUAICONDO;Salta;"Argentina";-24.5485;-65.8803
A4409;DAMIAN M. TORINO;Salta;"Argentina";-24.5485;-65.8803
A4409;LAS ZORRAS;Salta;"Argentina";-24.5485;-65.8803
A4409;TORO;Salta;"Argentina";-24.5485;-65.8803
A4409;SAN BERNARDO DE LAS ZORRAS;Salta;"Argentina";-24.5485;-65.8803
A4409;GOBERNADOR SARAVIA;Salta;"Argentina";-24.5485;-65.8803
A4409;CHORRILLITOS;Salta;"Argentina";-24.5485;-65.8803
A4409;INCAMAYO;Salta;"Argentina";-24.5485;-65.8803
A4409;EL TORO;Salta;"Argentina";-24.5485;-65.8803
A4409;TRES CRUCES (DIEGO DE ALMAGRO, DPTO. ROSARIO DE LERMA);Salta;"Argentina";-24.5485;-65.8803
A4411;MUÑANO (KILOMETRO 1308, APEADERO FCGB);Salta;"Argentina";-24.1367;-66.51
A4411;UNCURU;Salta;"Argentina";-24.1367;-66.51
A4411;PIZCUNO;Salta;"Argentina";-24.1367;-66.51
A4411;PIRCAS;Salta;"Argentina";-24.1367;-66.51
A4411;LOS PATOS (APEADERO FCGB);Salta;"Argentina";-24.1367;-66.51
A4411;JUNCAL;Salta;"Argentina";-24.1367;-66.51
A4411;MORRO COLORADO;Salta;"Argentina";-24.1367;-66.51
A4411;SAN ANTONIO DE LOS COBRES;Salta;"Argentina";-24.1833;-66.35
A4411;ACAZOQUE;Salta;"Argentina";-24.1367;-66.51
A4411;CORTADERAS;Salta;"Argentina";-24.1367;-66.51
A4411;NACIMIENTOS;Salta;"Argentina";-24.1367;-66.51
A4411;ABRA DEL GALLO;Salta;"Argentina";-24.1367;-66.51
A4411;COBRES;Salta;"Argentina";-23.6833;-66.2333
A4411;PASTOS GRANDES;Salta;"Argentina";-24.45;-66.7
A4411;SANTA ROSA DE LOS PASTOS GRANDES;Salta;"Argentina";-24.45;-66.7
A4413;LA CASUALIDAD;Salta;"Argentina";-25.0667;-68.2333
A4413;TOLAR GRANDE;Salta;"Argentina";-24.6;-67.45
A4413;SALAR DE POCITOS;Salta;"Argentina";-24.3333;-67.0167
A4413;OLACAPATO;Salta;"Argentina";-24.4667;-67.4292
A4413;VEGA DE ARIZARO (ESTACION FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;KILOMETRO 1369 (APEADERO FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;UNQUILLAL (EMBARCADERO FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;KILOMETRO 1424 (DESVIO FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;KILOMETRO 1373 (APEADERO FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;QUEBRADA DEL AGUA (ESTACION FCGB);Salta;"Argentina";-24.4667;-67.4292
A4413;SOCOMPA;Salta;"Argentina";-24.4667;-67.4292
A4413;CHUCULAQUI;Salta;"Argentina";-24.4667;-67.4292
A4413;CAIPE;Salta;"Argentina";-24.4667;-67.4292
A4413;LAGUNA SECA;Salta;"Argentina";-24.4667;-67.4292
A4415;BARRIO VILLA SAN JOSE;Salta;"Argentina";-24.9881;-66.0048
A4415;EL POTRERO (DPTO. CACHI);Salta;"Argentina";-24.9881;-66.0048
A4415;VILLITAS;Salta;"Argentina";-24.9881;-66.0048
A4415;MINA SAN GUILLERMO;Salta;"Argentina";-24.9881;-66.0048
A4415;EL RODEO;Salta;"Argentina";-24.9881;-66.0048
A4415;AGUA NEGRA;Salta;"Argentina";-24.9881;-66.0048
